IoU_Threshold,Class,mAP,AP,Precision,Recall,F1_Score,TP,FP,FN
0.75,dog,,0.460513761931418,0.35655737704918034,0.1641509433962264,0.2248062015503876,87,157,443
0.75,horse,,0.4633079336402565,0.3922413793103448,0.23037974683544304,0.2902711323763955,91,141,304
0.75,motorbike,,0.4414098244022873,0.24691358024691357,0.10840108401084012,0.15065913370998116,40,122,329
0.75,person,,0.2555687938820665,0.20366915422885573,0.12531088578534533,0.15515811915196023,655,2561,4572
0.75,pottedplant,,0.19606629416746654,0.06306306306306306,0.011824324324324325,0.01991465149359886,7,104,585
0.75,sheep,,0.21206527724647617,0.1642512077294686,0.10932475884244373,0.1312741312741313,34,173,277
0.75,sofa,,0.3591010103766945,0.2348993288590604,0.08838383838383838,0.12844036697247707,35,114,361
0.75,train,,0.4296988890498526,0.3402061855670103,0.2185430463576159,0.26612903225806456,66,128,236
0.75,tvmonitor,,0.5039015044866817,0.3333333333333333,0.15512465373961218,0.21172022684310016,56,112,305
0.9,Overall,0.059211335495974335,0.059211335495974335,0.025717625665670867,0.013221153846153846,0.017464167585446524,198,7501,14778
0.9,aeroplane,,0.0833068961930518,0.023529411764705882,0.012861736334405145,0.016632016632016633,4,166,307
0.9,bicycle,,0.09016941821065533,0.023255813953488372,0.012853470437017995,0.016556291390728478,5,210,384
0.9,bird,,0.016907634699396712,0.010869565217391304,0.005208333333333333,0.007042253521126761,3,273,573
0.9,boat,,0.010101010101010102,0.006711409395973154,0.002544529262086514,0.0036900369003690045,1,148,392
0.9,bottle,,0.0,0.0,0.0,0.0,0,131,657
0.9,bus,,0.34106007654687714,0.09174311926605505,0.03937007874015748,0.05509641873278238,10,99,244
0.9,car,,0.08226514898736496,0.056451612903225805,0.036340038935756006,0.04421634425582314,56,936,1485
0.9,cat,,0.12068012080389637,0.05179282868525897,0.03513513513513514,0.04186795491143317,13,238,357
0.9,chair,,0.019743240614666407,0.004750593824228029,0.001455604075691412,0.0022284122562674096,2,419,1372
0.9,cow,,0.07948581560283687,0.015151515151515152,0.0121580547112462,0.013490725126475547,4,260,325
0.9,diningtable,,0.07692307692307693,0.02631578947368421,0.0033444816053511705,0.005934718100890208,1,37,298
0.9,dog,,0.023475935483776345,0.020491803278688523,0.009433962264150943,0.012919896640826873,5,239,525
0.9,horse,,0.05562099906539622,0.03879310344827586,0.02278481012658228,0.028708133971291867,9,223,386
0.9,motorbike,,0.011250565355042968,0.012345679012345678,0.005420054200542005,0.007532956685499057,2,160,367
0.9,person,,0.03349584374431049,0.020833333333333332,0.012818060072699445,0.01587113585218524,67,3149,5160
0.9,pottedplant,,0.0,0.0,0.0,0.0,0,111,592
0.9,sheep,,0.0,0.0,0.0,0.0,0,207,311
0.9,sofa,,0.03625235404896422,0.020134228187919462,0.007575757575757576,0.011009174311926606,3,146,393
0.9,train,,0.0675961296604319,0.04639175257731959,0.029801324503311258,0.036290322580645164,9,185,293
0.9,tvmonitor,,0.03589244387873177,0.023809523809523808,0.0110803324099723,0.015122873345935728,4,164,357
